sentenceID,labels.rhetClass,enrichmentSet.rhetClass,text
1801071P44S4,,LegalRuleSentence,"Service connection for PTSD requires: (1) medical evidence diagnosing the condition in accordance with 38 C.F.R. Â§ 4.125; (2) credible supporting evidence of an in-service stressor; and (3) a link, established by medical evidence, between current symptoms and an in-service stressor."
1801071P44S5,,CitationSentence,38 C.F.R. Â§ 3.304(f).
1801071P45S2,,FindingSentence,"In the instant case, the record does not reflect a diagnosis for PTSD."
1801071P45S3,,LegalRuleSentence,"38 C.F.R. Â§ 4.125(a) requires that a diagnosis of PTSD be in accordance with either the 4th or 5th edition of the American Psychiatric Association's Diagnostic and Statistical Manual of Mental Disorders (DSM-IV, DSM-5)."
1801071P45S4,,Sentence,Which DSM is applicable is based on when the appeal was certified to the Board.
1801071P45S5,,EvidenceSentence,"However, the record in this case does not reflect any PTSD diagnosis per either DSM."
1801071P45S6,,ReasoningSentence,"The only medical evidence of record relating to PTSD is an October 2004 PTSD screening from Miami VA Medical Center (VAMC), and the screening was negative for PTSD."
1801071P45S7,,FindingSentence,"As the record does not reflect a current diagnosis for PTSD in accordance with 38 C.F.R. Â§ 4.125, the cornerstone element of service connection has not been met, and service connection is not warranted."
1801071P45S8,,CitationSentence,"See Brammer v. Derwinski, 3 Vet. App. 223, 225 (1992) (a current diagnosis is a cornerstone of service connection)."
1801071P46S2,LegalRuleSentence,EvidenceSentence,"The Board acknowledges that the Court has held that when a veteran claims service connection, he or she is not claiming service connection for a specific diagnosis but for his or her symptoms regardless of the diagnosis, and the claim encompasses the underlying condition regardless of diagnosis."
1801071P46S3,,CitationSentence,"Clemons v. Shinseki, 23 Vet. App. 1, 4-6 (2009)."
1801071P46S4,,Sentence,"As such, as mentioned in the Introduction, the Board has considered whether the record suggests psychiatric conditions other than PTSD."
1801071P46S5,,EvidenceSentence,"However in this case, the record does not reflect any psychiatric disorder diagnoses or persistent or recurrent symptomatology of a psychiatric condition."
1801071P46S6,,EvidenceSentence,A January 2011 depression screening from Miami VAMC was negative and indicates that the Veteran does not meet the referral criteria for depression or anxiety.
1801071P46S7,,FindingSentence,"As such, the Board finds that the record does not suggest other psychiatric conditions."
1801071P47S2,,FindingSentence,"In light of the evidence, the Board finds that the preponderance of the evidence does not support service connection for PTSD or another psychiatric condition."
1801071P47S3,,Sentence,"Accordingly, service connection for an acquired psychiatric condition, to include PTSD is denied."
1801071P48S1,,Sentence,ORDER
1801071P49S2,,FindingSentence,"As new and material evidence has been received, the claim for service connection for a back condition is reopened."
1801071P50S2,,Sentence,"Entitlement to service connection for an acquired psychiatric condition, to include PTSD is denied."
1801071P51S1,,Sentence,REMAND
1801071P52S2,,ReasoningSentence,The record reflects a current back condition and suggests an in-service incurrence but is insufficient to decide the claim as there is no nexus opinion of record.
1801071P52S3,,ReasoningSentence,"As such, the Board finds that the duty to assist has been triggered and a VA examination regarding the Veteran's current back condition is necessary."
1801071P52S4,,CitationSentence,"See McLendon v. Nicholson, 20 Vet. App. at 81; 38 U.S.C. Â§ 5103A(d)(2); 38 C.F.R. Â§ 3.159(c)(4)(i)."
1801071P52S5,,ReasoningSentence,"As such, the issue is remanded for a VA examination and opinion."
1801071P53S1,,Sentence,"Accordingly, the case is REMANDED for the following action:"
1801071P54S2,,Sentence,1.
1801071P54S3,,EvidenceSentence,Schedule the Veteran for a VA examination with an appropriate examiner to assess the nature and etiology of the Veteran's current back condition.
1801071P55S2,,EvidenceSentence,"The claims file and a copy of this remand must be made available to the reviewing examiner, and the examiner should indicate in the report that the claims file was reviewed."
1801071P56S2,,ReasoningSentence,Any opinion provided must be accompanied by a rationale and must take the Veteran's lay statements into consideration.
1801071P56S3,,EvidenceSentence,"The examiner is advised that the Veteran is competent to attest to observable symptoms, such as pain."
1801071P56S4,,LegalRuleSentence,"If there is a medical basis to support or doubt the Veteran's reports of symptomatology, the examiner should provide a fully reasoned explanation."
1801071P57S2,,EvidenceSentence,The examiner is asked to provide an opinion as to whether it is at least as likely as not (a 50 percent or greater probability) that the Veteran's back condition was caused by or is otherwise related to the Veteran's active service.
1801071P58S2,,Sentence,2.
1801071P58S3,,Sentence,"After completing the above actions, readjudicate the claim on appeal."
1801071P58S4,,Sentence,"If the benefits sought on appeal remain denied, the Veteran should be furnished an appropriate supplemental statement of the case and provided an opportunity to respond."
1801071P59S2,,Sentence,The appellant has the right to submit additional evidence and argument on the matter the Board has remanded.
1801071P59S3,,CitationSentence,"Kutscherousky v. West, 12 Vet. App. 369 (1999)."
1801071P60S2,,Sentence,This claim must be afforded expeditious treatment.
1801071P60S3,,LegalRuleSentence,The law requires that all claims that are remanded by the Board of Veterans' Appeals or by the United States Court of Appeals for Veterans Claims for additional development or other appropriate action must be handled in an expeditious manner.
1801071P60S4,,CitationSentence,"See 38 U.S.C.A. Â§Â§ 5109B, 7112 (West 2012)."
1801071P61S2,,Sentence,____________________________________________
1801071P62S2,,Sentence,GAYLE E. STROMMEN
1801071P63S2,,Sentence,"Veterans Law Judge, Board of Veterans' Appeals"
1801071P64S2,,Sentence,Department of Veterans Affairs
1801134P1S1,,Sentence,Citation Nr: 1801134
1801134P2S1,,Sentence,Decision Date: 01/09/18    Archive Date: 01/19/18
1801134P3S1,,Sentence,DOCKET NO.  14-05 016)	DATE
1801134P4S2,,Sentence,On appeal from the
1801134P5S2,,Sentence,"Department of Veterans Affairs Regional Office in Houston, Texas"
1801134P6S1,,Sentence,THE ISSUE
1801134P7S2,,EvidenceSentence,"Entitlement to an increased evaluation for post-traumatic stress disorder (PTSD), with cannabis abuse and depressive disorder, in excess of  50 percent disabling from prior to April 30, 2014, and 70 percent disabling thereafter."
1801134P8S1,,Sentence,REPRESENTATION
1801134P9S2,,Sentence,Veteran represented by:Disabled American Veterans
1801134P10S1,,Sentence,WITNESS AT HEARING ON APPEAL
1801134P11S2,,Sentence,The Veteran
1801134P12S1,,Sentence,ATTORNEY FOR THE BOARD
1801134P13S2,,Sentence,"K. Laffitte, Associate Counsel"
1801134P14S1,,Sentence,INTRODUCTION
1801134P15S2,,EvidenceSentence,The Veteran served on active duty in the U.S. Army from September 1966 to August 1969.
1801134P16S2,,Sentence,"This matter comes to the Board of Veterans' Appeals (Board) on appeal from a September 2011 rating decision issued by the Department of Veterans Affairs (VA) Regional Office (RO) in Houston, Texas, that denied the Veteran a rating greater than 50 percent for PTSD."
1801134P17S2,,Sentence,"In a February 2015 rating decision the RO increased the Veteran's disability rating to 70 percent disabling from April 30, 2014."
1801134P18S2,,EvidenceSentence,"In December 2017, the Veteran was scheduled for a hearing before a Veterans Law Judge for which he failed to report."
1801134P18S3,,ReasoningSentence,"As the Veteran has not provided good cause for his failure to report, and has not since requested that the hearing be rescheduled, his hearing request is, therefore, deemed withdrawn."
1801134P18S4,,CitationSentence,See 38 C.F.R. Â§Â§ 20.702 (d); 20.704(d) (2017).
1801134P19S1,,Sentence,FINDING OF FACT
1801134P20S2,,FindingSentence,"For the entirety of the appeal period, the Veteran's PTSD manifested to a degree of occupational and social impairment with deficiencies in most areas; but not total occupational and social impairment."
1801134P21S1,,Sentence,CONCLUSIONS OF LAW
1801134P22S2,,Sentence,1.
1801134P22S3,,FindingSentence,"Giving all reasonable doubt to the Veteran, for the period prior to April 30, 2014, the criteria for a 70 percent disability rating for PTSD have been met."
1801134P22S4,,CitationSentence,"38 U.S.C. Â§Â§ 1155, 5107 (West 2014); 38 C.F.R. Â§Â§ 3.102, 3.321, 4.1, 4.3, 4.7, 4.130, Diagnostic Code 9411 (2017)."
1801134P23S2,,Sentence,2.
1801134P23S3,,FindingSentence,At no time during the appeal period have the criteria for a disability rating greater than 70 percent for PTSD been met.
1801134P23S4,,CitationSentence,"38 U.S.C. Â§Â§ 1155, 5107 (West 2014); 38 C.F.R. Â§Â§ 3.102, 3.321, 4.1, 4.3, 4.7, 4.130, Diagnostic Code 9411 (2017)."
1801134P24S1,,Sentence,REASONS AND BASES FOR FINDING AND CONCLUSIONS
1801134P25S2,FindingSentence,Sentence,VA has complied with the duties to notify and assist in this case.
1801134P25S3,,EvidenceSentence,Notice was provided to the Veteran and no assertions of error have been raised with regard to the notice provided.
1801134P26S2,,Sentence,"With regard to the duty to assist, in the December 2017 Informal Hearing Presentation, the Veteran's representative asserts that because the last examination took place in September 2014, and thus, a new examination is required as his condition has worsened in the ensuing 3 years."
1801134P26S3,,FindingSentence,"The representative does not point to any evidence in the record to support this assertion, and to the contrary, the Board finds that review of the record indicates that the Veteran's symptomatology did not increase in severity during this period, and in fact, appears to have improved."
1801134P26S4,LegalRuleSentence,ReasoningSentence,The mere passage of time between the last examination and the Board's review does not automatically render the examination inadequate; there must be evidence of a change in the condition.
1801134P26S5,,CitationSentence,"Palczewski v. Nicholson, 21 Vet.App. 174, 182 (2007)."
1801134P26S6,,EvidenceSentence,"The Veteran's PTSD was evaluated as 70 percent disabling during this period, with symptoms that satisfied or equated to this level of disability."
1801134P26S7,,EvidenceSentence,"For the period after the September 2014 examination, in October 2014, the Veteran reported that he slept well and only had nightmares from time to time."
1801134P26S8,,EvidenceSentence,"He denied depression and suicidal ideations, and reported that he goes fishing 2 to 3 times a week, and that he enjoys talking, and enjoys life."
1801134P26S9,,EvidenceSentence,"Similarly in June 2015 and in October 2016, the Veteran reported that he slept well, enjoyed working around the house, and walking his dog."
1801134P26S10,,EvidenceSentence,"He again denied depression, suicidal ideation, and noted that he enjoyed life."
1801134P26S11,,EvidenceSentence,"Moreover, most recently in August 2017, a Pharmacy Clinical Note indicated that the Veteran's psychiatric condition was stable, and that he is well-controlled on his current therapy."
1801134P26S12,,ReasoningSentence,"Accordingly, absent a showing of worsening in the record, despite the assertions made by the representative, the Board does not find that a new examination due to worsening of the condition is warranted here."
1801134P27S2,,Sentence,Increased Ratings for PTSD
1801134P28S2,LegalRuleSentence,ReasoningSentence,"Disability evaluations (ratings) are determined by evaluating the extent to which a Veteran's service-connected disability adversely affects his ability to function under the ordinary conditions of daily life, including employment, by comparing the symptomatology with the criteria set forth in the Schedule for Rating Disabilities (Rating Schedule)."
1801134P28S3,,CitationSentence,"38 U.S.C.A. Â§ 1155 (West 2014); 38 C.F.R. Â§Â§ 4.1, 4.2, 4.10 (2017)."
1801134P29S2,,LegalRuleSentence,"In evaluating a disability, the Board considers the current examination reports in light of the whole recorded history to ensure that the current rating accurately reflects the severity of the condition."
1801134P29S3,LegalRuleSentence,Sentence,The Board has a duty to acknowledge and consider all regulations that are potentially applicable.
1801134P29S4,CitationSentence,Sentence,"Schafrath v. Derwinski, 1 Vet. App. 589 (1991)."
1801134P29S5,,LegalRuleSentence,"The medical, as well as industrial history is to be considered, and a full description of the effects of the disability upon ordinary activity is also required."
1801134P29S6,CitationSentence,Sentence,"38 C.F.R. Â§Â§ 4.1, 4.2, 4.10 (2017)."
1801134P31S2,,LegalRuleSentence,"Where there is a question as to which of two evaluations shall be applied, the higher evaluation will be assigned if the disability picture more nearly approximates the criteria required for that rating."
1801134P31S3,LegalRuleSentence,Sentence,"Otherwise, the lower rating will be assigned."
1801134P31S4,,CitationSentence,See 38 C.F.R. Â§ 4.7 (2017).
1801134P31S5,LegalRuleSentence,Sentence,Reasonable doubt regarding the degree of disability will be resolved in the Veteran's favor.
1801134P31S6,,CitationSentence,38 C.F.R. Â§ 4.3 (2017).
1801134P31S7,,LegalRuleSentence,"Separate ratings can be assigned for separate periods of time based on facts found, a practice known as ""staged"" ratings."
1801134P31S8,,CitationSentence,"Hart v. Mansfield, 21 Vet. App. 505 (2007)."
1801134P32S2,,LegalRuleSentence,"When all the evidence is assembled, VA is responsible for determining whether the evidence supports the claim or is in relative equipoise, with a Veteran prevailing in either event, or whether a preponderance of the evidence is against a claim, in which case, the claim is denied."
1801134P32S3,,CitationSentence,38 U.S.C. Â§ 5107(b) (2012); 38 C.F.R. Â§ 3.102 (2017).
1801134P33S2,ReasoningSentence,FindingSentence,"The Veteran's PTSD disability ratings have been ""staged"" from 30 percent disabling, with subsequent increases to 50 percent and 70 percent disabling, for the period on appeal under Diagnostic Code 9411."
1801134P33S3,,Sentence,Diagnostic Code 9411 uses the General Rating Formula for Mental Disorders.
1801134P33S4,,CitationSentence,"38 C.F.R. Â§ 4.130, Diagnostic Code 9411 (2017)."
1801134P34S2,LegalRuleSentence,EvidenceSentence,"Under the General Rating Formula, a 50 percent rating is assigned when a veteran's PTSD causes occupational and social impairment with reduced reliability and productivity due to such symptoms as: flattened affect; circumstantial, circumlocutory, or stereotyped speech; panic attacks more than once a week; difficulty in understanding complex commands; impairment of short-term and long-term memory (e.g., retention of only highly learned material, forgetting to complete tasks); impaired judgment; impaired abstract thinking; disturbances of motivation and mood; or difficulty in establishing and maintaining effective work and social relationships."
1801134P34S3,,CitationSentence,"38 C.F.R. Â§ 4.130, Diagnostic Code 9411 (2017)."
1801134P35S2,LegalRuleSentence,EvidenceSentence,"A 70 percent evaluation is warranted when there is occupational and social impairment with deficiencies in most areas, such as work, school, family relations, judgment, thinking, or mood, due to such symptoms as suicidal ideation; obsessional rituals which interfere with routine activities; speech intermittently illogical, obscure, or irrelevant; near-continuous panic or depression affecting the ability to function independently, appropriately and effectively; impaired impulse control (such as unprovoked irritability with periods of violence); spatial disorientation; neglect of personal appearance and hygiene; difficulty in adapting to stressful circumstances (including work or a work-like setting); and inability to establish and maintain effective relationships."
1801134P35S3,,CitationSentence,"38 C.F.R. Â§ 4.130, Diagnostic Code 9411 (2017)."
1801134P36S2,LegalRuleSentence,EvidenceSentence,"The maximum schedular rating of 100 percent is warranted when there is total occupational and social impairment due to such symptoms as gross impairment in thought processes or communication; persistent delusions or hallucinations; grossly inappropriate behavior; persistent danger of hurting self or others; intermittent inability to perform activities of daily living (including maintenance of minimal personal hygiene); disorientation to time or place; and memory loss for names of close relatives, own occupation or own name."
1801134P36S3,,CitationSentence,"38 C.F.R. Â§ 4.130, Diagnostic Code 9411 (2017)."
1801134P37S2,LegalRuleSentence,EvidenceSentence,"In addition, when evaluating a mental disorder, the rating agency shall consider the frequency, severity, and duration of psychiatric symptoms, the lengths of remissions, and the Veteran's capacity for adjustment during periods of remission."
1801134P37S3,,CitationSentence,38 C.F.R. Â§ 4.126(a) (2017).
1801134P37S4,LegalRuleSentence,EvidenceSentence,The rating agency shall assign an evaluation based on all evidence of record that bears on occupational and social impairment rather than solely on the examiner's assessment of the level of disability at the moment of the examination.
1801134P37S5,,CitationSentence,Id.
1801134P37S6,,LegalRuleSentence,"However, when evaluating the level of disability from a mental disorder, the rating agency will consider the extent of social impairment, but shall not assign an evaluation on the basis of social impairment."
1801134P37S7,,CitationSentence,38 C.F.R. Â§ 4.126(b) (2017).
1801134P38S2,LegalRuleSentence,ReasoningSentence,"Use of the term ""such symptoms as"" in Â§ 4.130 indicates that the list of symptoms that follows is ""non-exhaustive,"" meaning that VA is not required to find the presence of all, most, or even some of the enumerated symptoms to assign a particular evaluation."
1801134P38S3,,CitationSentence,"Vazquez-Claudio v. Shinseki, 713 F.3d 112, 115 (Fed. Cir. 2013); see Sellers v. Principi, 372 F.3d 1318, 1326-27 (Fed. Cir.2004); Mauerhan v. Principi, 16  Vet. App. 436, 442 (2002)."
1801134P38S4,,LegalRuleSentence,"However, because ""[a]ll nonzero disability levels [in Â§ 4.130] are also associated with objectively observable symptomatology,"" and because the plain language of the regulation makes clear that ""the veteran's impairment must be 'due to' those symptoms,"" a veteran ""may only qualify for a given disability rating under Â§ 4.130 by demonstrating the particular symptoms associated with that percentage, or others of similar severity, frequency, and duration."""
1801134P38S5,,CitationSentence,"Vazquez-Claudio, 713 F.3d at 116-17."
1801134P39S2,,Sentence,The Board has reviewed all of the evidence in the Veteran's claims file.
1801134P39S3,,LegalRuleSentence,"Although the Board has an obligation to provide adequate reasons and bases supporting this decision, there is no requirement that the evidence submitted by a Veteran or obtained on his behalf be discussed in detail."
1801134P39S4,,ReasoningSentence,"Rather, the Board's analysis below will focus specifically on what evidence is needed to substantiate the claim and what the evidence in the claims file shows, or fails to show, with respect to the claim."
1801134P39S5,,CitationSentence,"See Gonzales v. West, 218 F.3d 1378, 1380-81 (Fed. Cir. 2000); Timberlake v. Gober, 14 Vet. App. 122, 128-30 (2000)."
1801134P40S2,Sentence,EvidenceSentence,"With regard to GAF scores, it should be noted that prior to August 4, 2014, VA's Rating Schedule that addresses service-connected psychiatric disabilities was based upon the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, of the American Psychiatric Association (also known as ""DSM-IV"")."
1801134P40S3,,CitationSentence,38 C.F.R. Â§ 4.130.
1801134P40S4,Sentence,EvidenceSentence,"Like this case, diagnoses many times included an Axis V diagnosis, or a GAF score."
1801134P40S5,,Sentence,"The DSM was recently updated with a 5th Edition (""DSM-V""), and VA issued an interim final rule amending certain provisions in the regulations to reflect this update, including the Schedule for Rating Disabilities."
1801134P40S6,CitationSentence,Sentence,"70 Fed. Reg. 45093 (Aug. 4, 2014)."
1801134P40S7,,EvidenceSentence,"This updated medical text recommends that GAF scores be dropped due to their ""conceptual lack of clarity."""
1801134P40S8,,CitationSentence,"See DSM-V, at 16."
1801134P40S9,,Sentence,"However, since the Veteran's PTSD claim was originally certified to the Board prior to the adoption of the DSM-V, the DSM-IV criteria will be utilized in the analysis set forth below."
1801134P41S2,Sentence,EvidenceSentence,"The GAF is a scale reflecting the psychological, social, and occupational functioning on a hypothetical continuum of mental health illness."
1801134P41S3,,CitationSentence,"Carpenter v. Brown, 8 Vet. App. 240 (1995)."
1801134P41S4,,EvidenceSentence,"Pertinent to this case, GAF scores ranging from 61 to 70 indicate that a veteran has some mild psychiatric symptoms (e.g., depressed mood and mild insomnia) or experiences some difficulty in social, occupational, or school functioning (e.g., occasional truancy, or theft within the household); however, the veteran is found to generally be functioning pretty well and has some meaningful interpersonal relationships."
1801134P41S5,,EvidenceSentence,"GAF scores ranging from 51 to 60 indicate moderate symptoms (e.g., flat affect and circumstantial speech, occasional panic attacks) or moderate difficulty in social or occupational functioning (e.g., few friends, conflicts with peers and co-workers)."
1801134P41S6,,EvidenceSentence,"GAF scores of 41 to 50 indicate serious symptoms (e.g., suicidal ideation, severe obsessional rituals, frequent shoplifting) or any serious impairment in social or occupational functioning (e.g., no friends, unable to keep a job)."
1801134P41S7,,LegalRuleSentence,"While the Rating Schedule does indicate that the rating agency must be familiar with the DSM-IV, it does not assign disability percentages based solely on GAF scores."
1801134P41S8,,CitationSentence,See 38 C.F.R. Â§ 4.130 (2017).
1801134P42S2,,Sentence,Factual Background
1801134P43S2,,EvidenceSentence,The Veteran contends that his service-connected PTSD warrants a higher disability rating.
1801134P44S2,,EvidenceSentence,"On September 10, 2010, the Veteran received a VA examination to determine the severity of his PTSD."
1801134P44S3,,EvidenceSentence,"The Veteran reported symptoms of sleep impairment, panic attacks, chronic dysphoria, tearfulness, and suicidal ideations, but denied hallucinations or delusions."
1801134P44S4,,EvidenceSentence,"The Veteran further reported that he keeps to himself, and that he has obsessive rituals including checking locks 5-6 times per night and compulsively counting items."
